Company Name,Phone number,Website
Christen Ripoli - REALTOR,330-301-0687,"https://christenripoli.com
                    "
D.R. Horton at Reedy Creek Preserve,980-372-2753,"https://www.drhorton.com/north-carolina/charlotte/charlotte/reedy-creek
                    "
Madison-Simmons Homes & Communities,704-997-8255,"https://www.madisonsimmonshomes.com
                    "
Yancey Realty,704-960-6713,"https://cameron.findhomesincharlotte.com
                    "
Violet Home Services,704-686-8821,"https://violeths.com
                    "
"Keller Williams South Park- Kelly Flanagan, Realtor ",704-909-6017,"https://kellyflanagan.kw.com
                    "
Solis Millennium,980-348-9485,"solismillennium.com
                    "
Toastique,704-763-1422,best selling products!
Sweetgreen,334-689-9784,"https://www.sweetgreen.com
                    "
Sam's Club ,914-888-3324,"https://www.samsclub.com
                    "
Hilton Charlotte University Place,704-547-7444,"https://www.hilton.com/en/hotels/clthuhf-hilton-charlotte-university-place/
                    "
Leo's Italian Social,980-237-6880,"https://leositaliansocial.com
                    "
Beurrejour,718-578-2319,"https://www.beurrejour.com
                    "
KFC/Fulenwider Enterprises ,828-443-6679,"https://kfc.com
                    "                    "
Dos Caminos,No phone number listed,"https://www.doscaminos.com/location/charlotte/
                    "
Primo Partners LLC,310-818-9610,"https://www.primopartners.com
                    "
The DoubleTree by Hilton Charlotte Airport ,17043579121,"https://www.hilton.com/en/hotels/cltapdt-doubletree-charlotte-airport
                    "
City Barbeque,704-294-5007,"https://citybbq.com
                    "
Ruby Sunshine,225-938-6702,"https://rubybrunch.com
                    "
Fulenwider Enterprises/Taco Bell,828-443-6679,"https://tacobell.com
                    "
Singas Famous Pizza,704-900-8040,"https://www.singaspizzas.com
                    "
CHARLOTTE BEVERAGE DISTRIBUTION LLC,518-307-9649,"https://www.charlottebeveragedistribution.org
                    "
Alongside Brewing,704-995-7767,"https://Www.alongsidebrewing.com
                    "
Kolapasi Indian Canteen,980-616-3993,"https://kolapasi.us
                    "
"Mooyah Burgers, Fries & Shakes (Uptown)",704-885-0188,"https://www.mooyah.com
                    "
Spire Luxury Apartments,336-331-1700,"https://www.luxuryapartmentscharlottenc.com
                    "
IKEA,888-888-4532,"https://www.ikea.com/us/en/stores/charlotte
                    "
K Marshay Photography LLC,757-846-4512,"www.kmarshayphotography.com
                    "
Aqua World,704-520-6979,"https://www.aquaworldnc.com
                    "
Perfectly Wrapped Balloons,704-666-2939,"https://www.perfectlywrappedballoons.com
                    "
FSIoffice,704-598-8971,"https://fsioffice.com/
                    "
Custom Ink,704-935-5604,"https://www.customink.com/phillipsplace
                    "
Ralph Lauren Phillips Place,704-887-9154,"https://www.ralphlauren.com
                    "
Sam's Club ,914-888-3324,"https://www.samsclub.com
                    "
Neek Tea Co.,704-412-8080,"https://neekteaco.com
                    "
Rustic and Main,919-980-4527,"https://www.rusticandmain.com
                    "
Salt & Souls,704-503-9142,"https://www.saltandsouls.com
                    "
GlamGlitzGrace Boutique,706-836-0959,"https://GlamGlitzGraceboutique.com
                    "
Top Tier Solar Solutions,801-927-8969,"https://www.toptiersolarsolutions.com
                    "
Viva Collective LLC,980-250-6094,"https://vivacollectiveclt.com
                    "
Training Concepts,917-687-3702,"https://www.tc.fitness
                    "
3T America ,704-576-7970,"https://us.3t.bike
                    "
Hotworx Studio- Charlotte Steele Creek,704-274-1172,"https://www.hotworx.net/studio/charlotte-steele-creek
                    "
Vasami Training ,914-450-3614,"chrisvasami.com
                    "
"Dedicated Nursing Associates, Inc.",724-365-8545,"https://dedicatednurses.com
                    "
Cornerstone Staffing Solutions,704-587-4549,"https://www.work4css.com
                    "
Elite Resources Inc.,704-504-2299,"https://eliteresources.net
                    "
"Debbie's Staffing Services, Inc",704-494-8884,"https://www.debbiesstaffing.com
                    "
McDowell Recruitment and Employment Agency,704-729-6022,"https://www.mcdowellrecruitmentandemploymentagency.com
                    "
Prime Earth Inc.,904-472-3917,"https://primeearthinc.com
                    "
DUKE Limo ,980-401-2246,"https://dukelimo.com
                    "
A’zar Bostic,704-620-0487,"https://linkedin.com/in/abosti
                    "
Bennett International,858-349-4343,"https://www.bennettig.com
                    "
"Overtime Towing & Transport, LLC",980-505-0553,"www.overtimetowing.com
                    "
Bus.com Charlotte,855-426-1717,"www.bus.com/cities/charlotte
                    "
GOGO Charters Charlotte ,888-545-7943,"https://gogocharters.com/group-transportation-services
                    "
Coumba Win Design,802-990-3399,"https://www.coumba.win
                    "
Carolina DJ Professionals,704-990-5622,"https://www.carolinadjprofessionals.com
                    "                                           
Rustic and Main,919-980-4527,"https://www.rusticandmain.com
                    "
